"Table Name","Column Name","Data Type","Not Null?","Constraints","Sample Value"
"customers","contact_no","varchar2","No","","09181234567"
"customers","email","varchar2","No","","procurement@ayalaland.com.ph"
"customers","project_location","varchar2","No","","Makati City"
"sales","sale_id","number","Yes","PRIMARY KEY","1"
"sales","sap_ref_no","varchar2","No","UNIQUE","SAP-INV-260301"
"sales","customer_id","number","Yes","FOREIGN KEY","1"
"sales","processed_by","number","Yes","FOREIGN KEY","2"
"sales","sale_date","timestamp","Yes","","2026-04-02 10:30:00"
"sales","total_amount","number","No","DEFAULT 0","581000"
"sales","tax_amount","number","No","DEFAULT 0","0"
"sales","shipping_amount","number","No","DEFAULT 0","0"
"sales","payment_terms","varchar2","No","","Full Payment"
"sales","due_date","date","No","","2026-04-02"
"sales_items","sale_item_id","number","Yes","PRIMARY KEY","1"
"sales_items","sale_id","number","Yes","FOREIGN KEY","1"
"sales_items","item_id","number","Yes","FOREIGN KEY","1"
"sales_items","qty","number","Yes","","5"
"sales_items","unit_price","number","Yes","","30800"
"sales_items","line_total","number","Yes","","154000"
"sales_items","allocation_status","varchar2","No","","RELEASED"
"fulfillments","fulfillment_id","number","Yes","PRIMARY KEY","1"
"fulfillments","sale_id","number","Yes","FOREIGN KEY","1"
"fulfillments","method","varchar2","No","","Truck Delivery"
"fulfillments","status","varchar2","No","DEFAULT 'PENDING'","COMPLETED"
"fulfillments","target_date","date","Yes","","2026-04-05"
"fulfillments","actual_completion_date","timestamp","No","","2026-04-05 15:00:00"
"fulfillments","handled_by","number","Yes","FOREIGN KEY","5"
"supplier_item_prices","price_id","number","Yes","PRIMARY KEY","1"
"supplier_item_prices","supplier_id","number","Yes","FOREIGN KEY","1"
"supplier_item_prices","item_id","number","Yes","FOREIGN KEY","1"
"supplier_item_prices","unit_cost","number","Yes","","15000"
"supplier_item_prices","lead_time_days","number","No","DEFAULT 0","30"
"supplier_item_prices","effective_date","date","No","DEFAULT CURRENT_DATE","2026-01-01"
"payments","payment_id","number","Yes","PRIMARY KEY","1"
"payments","related_type","varchar2","Yes","","SALE"
"payments","related_id","number","Yes","","1"
"payments","amount","number","Yes","","581000"
"payments","payment_date","timestamp","Yes","DEFAULT CURRENT_TIMESTAMP","2026-04-02 11:30:00"
"payments","payment_method","varchar2","No","","Bank Transfer"
"payments","reference_no","varchar2","No","","REF-PYMT-001"
"payments","logged_by","number","Yes","FOREIGN KEY","2"
"reorder_alerts","alert_id","number","Yes","PRIMARY KEY","1"
"reorder_alerts","item_id","number","Yes","FOREIGN KEY","1"
"reorder_alerts","location_id","number","Yes","FOREIGN KEY","1"
"reorder_alerts","current_qty","number","Yes","","3"
"reorder_alerts","threshold_qty","number","Yes","","10"
"reorder_alerts","alert_date","timestamp","No","DEFAULT CURRENT_TIMESTAMP","2026-04-01 08:30:00"
"reorder_alerts","status","varchar2","No","DEFAULT 'ACTIVE'","ACTIVE"
"audit_logs","log_id","number","Yes","PRIMARY KEY","1"
"audit_logs","user_id","number","Yes","FOREIGN KEY","1"
"audit_logs","action_type","varchar2","Yes","","INVENTORY_ADJUSTMENT"
"audit_logs","log_timestamp","timestamp","Yes","DEFAULT CURRENT_TIMESTAMP","2026-04-02 11:00:00"
"audit_logs","log_details","varchar2","No","","Stock replenishment confirmed for SD-SHIBA-TVS via PO-2026-001"
